symbol,action,add_shares,price_run,rationale,prev_shares,target_shares,mu_mean_q,mu_sd_q,add_value_usd,target_weight
DHR,New,5,199.44,"PE_ttm 25.3 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -3.55%; RSI14: 30.6; MACD hist: -0.595; mean=0.26, 30d imbalance=0.00 (pos=0, neg=0); implied=27.81%, rating balance=0.92 (SB=4,B=18,H=2,S=0,SS=0); regime=Mixed, beta_1y=0.92 -> score=0.03",0,5,0.0632675989238185,0.02445160682440006,997.2,0.040629405389548484
EEFT,New,11,90.64,"PE_ttm 10.1 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.3% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -12.54%; RSI14: 37.9; MACD hist: 0.043; mean=0.25, 30d imbalance=0.00 (pos=0, neg=0); implied=43.19%, rating balance=0.78 (SB=1,B=6,H=2,S=0,SS=0); regime=Mixed, beta_1y=1.09 -> score=-0.04",0,11,0.0938988990601104,0.03010963629382931,997.04,0.04062288643160391
GPCR,New,50,19.71,"ROA -0.2% vs med 0.0%; ROE -0.2% vs med 0.1%; Trend: neutral; 3M momentum: 9.25%; RSI14: 71.9; MACD hist: 0.354; mean=0.15, 30d imbalance=0.00 (pos=0, neg=0); implied=199.43%, rating balance=1.00 (SB=5,B=8,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.84 -> score=0.06",0,50,0.25,0.13629761504851953,985.5,0.040152706589851615
IDYA,Increase,38,25.76,"ROA -0.2% vs med 0.0%; ROE -0.4% vs med 0.1%; Revenue TTM positive; Trend: bullish; 3M momentum: 19.01%; RSI14: 52.1; MACD hist: 0.037; mean=0.16, 30d imbalance=0.00 (pos=0, neg=0); implied=81.56%, rating balance=0.88 (SB=2,B=12,H=2,S=0,SS=0); regime=Mixed, beta_1y=1.04 -> score=-0.02",41,79,0.16079153241967248,0.03177501745532189,978.8800000000001,0.03988298470489493
IMCR,New,28,35.27,"ROA -0.0% vs med 0.0%; ROE -0.1% vs med 0.1%; Revenue TTM positive; Trend: bullish; 3M momentum: 3.87%; RSI14: 54.7; MACD hist: -0.303; mean=0.13, 30d imbalance=0.00 (pos=0, neg=0); implied=87.07%, rating balance=0.71 (SB=4,B=9,H=3,S=1,SS=0); regime=Mixed, beta_1y=0.71 -> score=0.12",0,28,0.1694985394342563,0.03648168412125496,987.5600000000001,0.04023663817338799
IMVT,New,59,16.7,"ROA -0.5% vs med 0.0%; ROE -0.8% vs med 0.1%; Trend: bearish; 3M momentum: -2.56%; RSI14: 53.2; MACD hist: -0.070; mean=0.15, 30d imbalance=0.00 (pos=0, neg=0); implied=157.92%, rating balance=0.75 (SB=3,B=9,H=4,S=0,SS=0); regime=Mixed, beta_1y=1.13 -> score=-0.05",0,59,0.25,0.05914149356348739,985.3,0.0401445578924209
JANX,New,43,23.04,"ROA -0.1% vs med 0.0%; ROE -0.1% vs med 0.1%; Revenue TTM positive; Trend: bearish; 3M momentum: 0.69%; RSI14: 54.0; MACD hist: -0.001; mean=0.19, 30d imbalance=0.00 (pos=0, neg=0); implied=234.28%, rating balance=1.00 (SB=3,B=11,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.16 -> score=-0.06",0,43,0.25,0.07801587301587293,990.7199999999999,0.04036538759279329
KINS,New,67,14.91,"PE_ttm 7.3 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.4% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -9.45%; RSI14: 55.5; MACD hist: 0.090; Empty news feed; implied=58.39%, rating balance=0.00 (SB=0,B=0,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.99 -> score=0.00",0,67,0.12183790183780019,0.02479518657203746,998.97,0.040701521361810315
LKQ,New,31,31.98,"PE_ttm 9.1 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -19.47%; RSI14: 32.3; MACD hist: -0.138; mean=0.20, 30d imbalance=0.00 (pos=0, neg=0); implied=43.21%, rating balance=0.86 (SB=3,B=3,H=1,S=0,SS=0); regime=Mixed, beta_1y=0.54 -> score=0.19",0,31,0.09393156906991451,0.02,991.38,0.04039227829431465
LNTH,New,18,55.15,"PE_ttm 7.8 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -38.10%; RSI14: 34.6; MACD hist: 0.130; mean=0.13, 30d imbalance=0.00 (pos=0, neg=0); implied=72.90%, rating balance=0.85 (SB=2,B=9,H=2,S=0,SS=0); regime=Mixed, beta_1y=0.35 -> score=0.26",0,18,0.14669656147401744,0.09076006166065216,992.6999999999999,0.04044605969735737
MAX,Increase,74,13.41,"PE_ttm 8.4 vs med 16.5; ROA 0.2% vs med 0.0%; ROE 0.0% vs med 0.1%; Revenue TTM positive; Trend: bullish; 3M momentum: 16.85%; RSI14: 70.8; MACD hist: 0.030; mean=0.19, 30d imbalance=0.00 (pos=0, neg=0); implied=24.43%, rating balance=0.88 (SB=3,B=4,H=1,S=0,SS=0); regime=Mixed, beta_1y=1.00 -> score=0.00",180,254,0.05616100089900389,0.02177592954990233,992.34,0.040431392041982095
MNMD,New,110,9.06,"ROA -0.3% vs med 0.0%; ROE -0.6% vs med 0.1%; Trend: bullish; 3M momentum: 33.52%; RSI14: 56.4; MACD hist: -0.029; mean=0.17, 30d imbalance=0.00 (pos=0, neg=0); implied=149.27%, rating balance=1.00 (SB=3,B=8,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.77 -> score=-0.31",0,110,0.25,0.15,996.6,0.040604959297256334
MTDR,New,20,48.97,"PE_ttm 6.5 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -5.48%; RSI14: 33.0; MACD hist: -0.294; mean=0.25, 30d imbalance=0.00 (pos=0, neg=0); implied=40.51%, rating balance=0.89 (SB=3,B=14,H=2,S=0,SS=0); regime=Mixed, beta_1y=1.38 -> score=-0.15",0,20,0.08875552110354934,0.05069151025003698,979.4,0.03990417131821478
NX,New,49,20.1,"PE_ttm 7.3 vs med 16.5; ROA 0.0% vs med 0.0%; ROE -0.4% vs med 0.1%; Revenue TTM positive; Trend: bearish; 3M momentum: -25.78%; RSI14: 17.7; MACD hist: -0.368; mean=0.20, 30d imbalance=0.00 (pos=0, neg=0); implied=100.57%, rating balance=1.00 (SB=0,B=2,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.33 -> score=-0.13",0,49,0.19005806876005216,0.023403272850654057,984.9000000000001,0.04012826049755947
PACS,New,90,10.99,"PE_ttm 15.8 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.0% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: 5.61%; RSI14: 58.6; MACD hist: 0.331; Upcoming earnings window; neutralizing sentiment (mean=0.12, 30d imbalance=0.00); implied=159.51%, rating balance=1.00 (SB=1,B=3,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.76 -> score=0.10",0,90,0.25,0.15,989.1,0.0402993831436045
